cell_a,cell_b,weight,len
0,2,1.0,24.37857400376627
0,309,0.6,39.10263779323716
0,573,0.6,57.637710124819804
0,588,0.6,69.57229064688079
1,5,1.0,36.565144375715086
1,6,0.6,79.22172278534796
1,550,0.6,79.54944978417633
2,288,0.6,87.44692439420626
2,302,0.6,37.25100484034212
2,573,0.6,45.6439998258685
3,4,1.0,24.53417690989623
3,26,0.6,93.9925903967989
3,619,0.6,65.42703528203566
4,292,0.6,35.268980430284586
4,297,0.6,78.66295537720515
4,619,0.6,50.34643825042423
5,6,0.6,42.70997813640041
6,516,1.0,77.99956081308798
7,17,1.0,62.87796809738192
7,20,1.0,24.91386507252924
7,47,1.0,50.355276006641795
7,98,1.0,28.463236908838304
8,114,1.0,34.48182586698948
8,425,0.6,33.029544603586764
8,445,0.6,23.971597044774203
8,571,0.6,40.70780880733846
8,625,0.6,46.896254546754804
9,12,1.0,39.09591954408154
9,15,1.0,49.861495043543286
9,17,1.0,29.35951526174703
9,20,1.0,28.11784561952837
9,485,0.6,69.13531173313775
10,11,1.0,102.06686817636165
10,141,1.0,60.135422848615036
10,162,1.0,87.66745887069769
10,172,1.0,44.79384232122585
11,16,1.0,32.4994666097453
11,162,1.0,40.72692295679198
11,274,0.6,66.49882166102711
12,15,1.0,37.15951525967209
12,17,1.0,31.486861604971068
12,152,1.0,60.71488948460854
12,555,0.6,95.92186984201912
13,110,1.0,60.17624693210393
13,113,1.0,52.70273547761581
13,156,1.0,36.11430696206378
14,25,1.0,29.478852249560404
14,102,1.0,38.68438216739338
14,113,1.0,43.710877656984565
14,125,1.0,39.43825853514932
15,115,1.0,57.89033863865738
15,152,1.0,36.34221923550891
15,436,0.6,59.037255672729486
15,485,0.6,61.01867342356882
16,274,0.6,63.271664888110095
17,20,1.0,50.45193475638927
18,27,1.0,48.83545966698143
18,51,1.0,34.42476226328714
18,64,1.0,53.949691962067725
18,87,1.0,66.31498844577695
18,385,0.6,67.0949295764932
18,581,0.6,49.735372199591126
18,636,0.6,44.536008966756675
19,24,1.0,75.43687080547248
19,224,1.0,52.67115924952998
19,400,0.6,71.42268212059932
19,637,0.6,66.35927841643857
19,646,0.6,56.5938363936439
19,660,0.6,50.667077008035356
20,98,1.0,44.43796808615542
20,454,0.6,57.42167284384778
20,474,0.6,59.76807409848032
20,485,0.6,69.11789902476188
21,33,1.0,72.05301526653096
21,37,1.0,44.08114074755458
21,44,1.0,94.06129225241119
21,61,1.0,37.8235889532712
21,143,1.0,37.03784445918238
21,538,0.6,93.1423222412237
22,57,1.0,94.25298651902776
22,97,1.0,73.80678149932524
22,159,1.0,70.69203768680028
22,287,0.6,76.06827560243892
22,338,0.6,95.77224380999931
23,136,1.0,39.33865095656918
23,180,1.0,49.92758308123683
23,204,1.0,61.20072087655661
23,212,1.0,59.594399007585444
24,45,1.0,38.6706430630937
24,224,1.0,55.174542809863176
24,637,0.6,73.6275784998967
24,649,0.6,87.57597639299722
25,102,1.0,60.39241172178271
25,110,1.0,68.72548694430925
25,113,1.0,43.96822126395239
25,156,1.0,41.256320757316345
26,56,1.0,35.97495609739962
26,80,1.0,81.28941190569824
26,237,1.0,50.485775797163406
26,619,0.6,41.96503725254178
27,50,1.0,85.4311850136701
27,51,1.0,36.160085526909384
27,87,1.0,85.42313995801676
28,53,1.0,59.84860219621729
28,62,1.0,34.49722781588131
28,191,1.0,62.144039746968986
28,202,1.0,73.76121949323937
28,586,0.6,74.01077989981331
28,592,0.6,58.31268103164437
29,52,1.0,32.79624782873383
29,84,1.0,39.049537015168276
29,194,1.0,51.46252480155111
29,238,1.0,81.56605557172628
29,428,0.6,33.81244917837354
29,468,0.6,42.59780241794168
30,79,1.0,43.10761901145548
30,94,1.0,43.11153364816093
30,128,1.0,52.580397200022745
30,259,0.6,42.04855511942422
30,584,0.6,46.42200740426667
30,640,0.6,50.64316274112482
31,42,1.0,45.70192281858528
31,46,1.0,41.249006403378665
31,139,1.0,49.757587037292076
31,487,0.6,62.308517198146816
31,517,0.6,98.70932142562519
32,88,1.0,35.934114827356694
32,576,0.6,59.472619995785486
32,606,0.6,43.573548083442546
33,37,1.0,84.82758564596597
33,50,1.0,69.03062529713951
33,87,1.0,63.24765901733252
33,143,1.0,56.796929344029834
33,265,0.6,40.47041767667196
33,403,0.6,40.40971340646422
33,570,0.6,40.7949971826651
34,69,1.0,37.2006812005843
34,121,1.0,93.35486951893176
34,245,1.0,75.61057927977222
34,521,0.6,79.65240903648042
34,528,0.6,94.81911563883197
35,48,1.0,39.91116120274799
35,80,1.0,42.248004756609014
35,104,1.0,33.65603257235783
35,254,0.6,38.71988457942643
35,509,0.6,37.95149667384242
36,44,1.0,68.99138002867542
36,61,1.0,53.55028008080647
36,83,1.0,48.77747979599416
36,389,0.6,70.74529729024964
36,402,0.6,78.19242349975559
36,585,0.6,77.91996259938172
37,61,1.0,35.59505146557265
37,568,0.6,41.720655475077635
37,570,0.6,75.7242513810315
37,583,0.6,49.5148731053197
37,585,0.6,41.9486332239148
38,105,1.0,59.46318514292442
38,215,1.0,73.17328416107392
38,223,1.0,68.71401014275172
38,232,1.0,61.730345218500325
38,246,1.0,71.31206564791162
39,69,1.0,45.07430863220388
39,93,1.0,40.49925666224668
39,198,1.0,47.36838514625822
39,268,0.6,36.37163493838477
39,521,0.6,40.54004762561494
40,92,1.0,41.387862343178874
40,133,1.0,49.04767337797181
40,413,0.6,73.25780734377327
40,475,0.6,49.453336418092505
40,498,0.6,52.723229791154836
41,74,1.0,42.38138943328923
41,158,1.0,58.16141496301271
41,193,1.0,80.28290951661906
41,277,0.6,80.40402547986214
41,590,0.6,87.24662592284035
42,261,0.6,30.808989212259426
42,487,0.6,39.308017985909565
42,517,0.6,69.0684903128429
43,96,1.0,40.00039937271158
43,245,1.0,94.21703284138084
43,278,0.6,45.68516992418777
43,638,0.6,66.26974085977956
43,641,0.6,53.863965143864746
44,61,1.0,73.527102696125
44,83,1.0,97.85427718494556
44,529,0.6,37.724565307170415
44,562,0.6,59.126003490795945
45,224,1.0,56.01198042409077
45,264,0.6,59.95396715075121
46,63,1.0,61.869484650251565
46,85,1.0,45.797249085885
46,139,1.0,45.42960882467696
46,414,0.6,41.28074522911891
46,487,0.6,51.92151575524943
47,79,1.0,51.41194904643288
47,98,1.0,45.94691846571433
47,128,1.0,50.234310907207316
48,80,1.0,31.421775262928186
48,254,0.6,41.20763723312825
48,256,0.6,37.22656420381968
49,57,1.0,39.165244259343616
49,101,1.0,39.24309100785084
49,336,0.6,39.31781815817789
49,347,0.6,62.93078703431284
50,87,1.0,33.148525993133326
50,143,1.0,72.39804186895162
51,64,1.0,31.85242338083664
51,70,1.0,92.86825801395406
52,238,1.0,65.00358949540109
52,240,1.0,56.697778425110954
52,468,0.6,45.72970214186698
53,62,1.0,38.49581827809144
53,191,1.0,46.60621879617327
53,222,1.0,63.57945529882173
54,57,1.0,48.67709864312572
54,97,1.0,39.252357353113446
54,101,1.0,47.210261777718266
55,76,1.0,61.8743789679061
55,200,1.0,88.94477274217124
55,525,0.6,40.059776859898264
55,537,0.6,95.91747811124084
56,58,1.0,31.47251750294621
56,82,1.0,52.55439877029074
56,237,1.0,54.615511019779696
56,381,0.6,68.16795955875278
56,617,0.6,39.85176904578272
56,619,0.6,52.84263430444133
57,97,1.0,43.23961476938205
57,101,1.0,55.922647776438545
57,336,0.6,62.27467510127026
57,338,0.6,84.50760456732209
58,82,1.0,34.14675817565675
58,184,1.0,41.484536028684715
58,237,1.0,48.844789861036716
59,106,1.0,60.85318779745528
59,140,1.0,93.78665944651706
59,175,1.0,35.643273418665764
59,657,0.6,47.989412617227195
59,662,0.6,80.70522449300213
60,193,1.0,49.39978236767268
60,203,1.0,45.694303998720116
60,382,0.6,64.57755319956885
60,392,0.6,42.67460691616629
60,590,0.6,60.529092303525665
61,585,0.6,67.45957934388672
62,202,1.0,76.55812440626667
62,222,1.0,47.767766022027345
63,85,1.0,42.91616551006196
63,139,1.0,57.095685260722185
63,596,0.6,65.78532696430204
63,608,0.6,84.64612268701043
63,613,0.6,75.79382473690963
64,70,1.0,67.45737731407382
64,272,0.6,61.06864373505111
64,581,0.6,53.588895912499844
64,628,0.6,50.23201553926296
64,655,0.6,53.150313928103195
65,118,1.0,75.67568605458462
65,219,1.0,84.16978830085095
65,320,0.6,93.08573588164707
65,343,0.6,96.2051509500048
66,68,1.0,84.29939264280226
66,89,1.0,75.58789168467771
66,100,1.0,31.50261330634088
66,103,1.0,92.77373219542643
66,163,1.0,39.03218735348599
66,217,1.0,68.48256203190992
67,160,1.0,84.20520169774962
68,91,1.0,85.58237369050057
68,158,1.0,46.08919372858426
68,163,1.0,57.57332098787294
68,231,0.6,58.33675236920389
68,611,0.6,65.50475096740863
68,632,0.6,85.67496121801005
68,635,0.6,72.85849048277214
69,198,1.0,54.29778242511057
69,245,1.0,87.70774728492451
69,521,0.6,56.61397128461734
70,88,1.0,48.38167257384868
70,250,0.6,43.78886205068395
70,272,0.6,38.177799662143656
70,576,0.6,58.64643462380463
71,161,1.0,85.31355847020684
71,204,1.0,49.8372204734806
71,206,1.0,68.11095336288693
71,212,1.0,56.80296367951815
71,235,1.0,69.44610246991016
72,78,1.0,41.69450978534892
72,147,1.0,49.47292245905823
72,263,0.6,39.09601212888277
72,393,0.6,65.9106879198519
73,202,1.0,39.22365904475737
73,401,0.6,65.42432485492031
73,478,0.6,40.369742694382154
73,495,0.6,37.73439269377281
73,592,0.6,94.66934429750034
74,108,1.0,41.37177361741697
74,158,1.0,79.07598398810181
74,163,1.0,76.9948318988396
74,217,1.0,50.08866541822415
75,153,1.0,86.77755069408322
75,211,1.0,43.99682778437834
75,251,0.6,47.48788449512171
75,643,0.6,40.5944472563972
76,200,1.0,46.707330803183524
77,195,1.0,78.30315910490881
77,199,1.0,44.80976182544977
77,386,0.6,88.94127052017416
77,391,0.6,102.44855864321883
77,396,0.6,83.05763199067457
77,399,0.6,84.05767636473944
77,412,0.6,56.008512698579395
77,479,0.6,58.31099491935729
77,483,0.6,63.591624901582215
78,147,1.0,65.85228509470906
78,160,1.0,53.857051172167516
78,393,0.6,89.9350186032682
79,98,1.0,34.90299608805113
79,114,1.0,42.34963268393181
79,128,1.0,62.590497171089
79,640,0.6,62.868273874876564
80,104,1.0,56.66163184944075
80,237,1.0,43.79409073088825
80,256,0.6,66.16700931909962
81,133,1.0,81.4545879176216
81,475,0.6,98.59080260435753
81,535,0.6,68.97188620114544
81,546,0.6,43.87114026642237
82,184,1.0,50.29647608174282
82,381,0.6,57.28345182342959
82,436,0.6,60.93283750196644
82,482,0.6,74.82314893112999
82,502,0.6,66.9712183983556
83,400,0.6,74.6447035223018
83,402,0.6,57.69122160559059
83,575,0.6,58.51979587644033
84,86,1.0,77.43012479783575
84,194,1.0,42.19259870786945
84,417,0.6,52.40176014914871
84,428,0.6,35.22217512232374
84,431,0.6,41.3775316069659
84,506,0.6,51.54494980148086
85,414,0.6,56.43856843857513
85,499,0.6,64.16657871358177
85,613,0.6,48.0840846409212
86,124,1.0,59.16363390977153
86,194,1.0,77.09177993806213
86,215,1.0,54.81078350308994
86,232,1.0,62.17105690994196
86,271,0.6,27.878337532559367
86,417,0.6,56.18394545835962
86,463,0.6,45.871199530554215
87,385,0.6,42.31236345091144
87,403,0.6,62.528401374887366
88,576,0.6,61.94424993400204
89,100,1.0,62.5871363634264
89,103,1.0,65.890589244603
89,207,1.0,49.1573639246492
89,563,0.6,59.59476656406222
90,116,1.0,69.09800369031726
90,122,1.0,54.20246791235246
90,145,1.0,41.00479486898135
90,173,1.0,54.345299004791435
90,196,1.0,57.188061321223266
91,103,1.0,78.89783931999783
91,197,1.0,57.852939055670184
91,629,0.6,65.93385134286845
91,632,0.6,63.30136745122749
91,645,0.6,43.73681390136025
92,129,1.0,70.10236672530971
92,133,1.0,64.87072387122598
92,181,1.0,98.5178979101222
92,187,1.0,51.128419431850475
92,413,0.6,78.32825387056194
92,508,0.6,77.52462357248189
93,198,1.0,52.53306896916031
93,268,0.6,48.24701254334219
93,270,0.6,45.914260408580716
94,128,1.0,43.08588342628235
94,584,0.6,60.58209187646668
94,644,0.6,96.48383400569845
94,647,0.6,67.36694507267718
95,176,1.0,45.60409827194703
95,195,1.0,54.4749193297981
95,199,1.0,45.148414418345
95,228,1.0,41.39821444169764
96,226,1.0,50.27945539929138
96,245,1.0,98.67612666586187
96,615,0.6,89.11717007209232
96,641,0.6,72.85352973254692
98,114,1.0,50.409853372230415
98,454,0.6,59.95245372592669
99,107,1.0,44.18688481168061
99,111,1.0,59.14553307105862
99,117,1.0,49.68960700967488
99,228,1.0,46.97387655866321
99,248,0.6,44.9019287641327
100,217,1.0,69.93955636990461
100,547,0.6,71.78232622190518
100,563,0.6,56.004579475574
101,347,0.6,75.12309926122619
102,125,1.0,53.344605303846826
102,349,0.6,98.70577594721907
103,112,1.0,84.23840749957063
103,197,1.0,56.47969882906401
103,207,1.0,72.54867326850906
104,184,1.0,54.997300796194686
104,237,1.0,53.983653511677396
104,509,0.6,54.86014274691012
104,555,0.6,92.71872890332213
105,166,1.0,62.71335990269654
105,168,1.0,74.55752526894311
105,223,1.0,70.46330349782777
105,232,1.0,68.91227153430859
105,241,1.0,87.2573110872834
106,142,1.0,42.311488424444384
106,149,1.0,47.96662655438846
106,175,1.0,52.65310217452688
106,657,0.6,88.65133834732582
106,663,0.6,64.66046383322106
107,176,1.0,70.43630360303715
107,228,1.0,41.361551869090945
107,248,0.6,56.475500297134715
107,276,0.6,65.25858833539452
108,217,1.0,44.57684335695798
108,530,0.6,46.570850811574886
108,551,0.6,100.3297983088657
109,169,1.0,62.52211667040923
109,187,1.0,52.29453320426998
109,234,1.0,44.216736352553106
109,523,0.6,58.19101635837329
109,549,0.6,58.258509669566536
110,156,1.0,41.56039769155297
111,117,1.0,44.715538010524114
111,138,1.0,96.96959187131009
111,183,1.0,72.09695687208082
111,199,1.0,90.17894122111939
111,228,1.0,69.48145313229186
111,483,0.6,89.75431113272484
111,501,0.6,94.41251715559412
112,197,1.0,92.16176544864965
112,205,1.0,78.3552890443403
112,207,1.0,56.50207828579049
112,208,1.0,45.105051509115526
112,238,1.0,76.45850016652446
113,125,1.0,52.91169297199293
113,156,1.0,42.74913278149378
114,445,0.6,45.792548191331015
