Ath_Gene,Ath_Transcript,Ptr_Gene,Ptr_Transcript,Identity,Coverage,Evalue,Bitscore
AT1G01010,AT1G01010.1,Potri.014G107850,Potri.014G107850.1,32.599,52,2.98e-30,117
AT1G01020,AT1G01020.1,Potri.014G107300,Potri.014G107300.3,54.955,88,1.02e-82,247
AT1G01030,AT1G01030.1,Potri.002G181600,Potri.002G181600.2,46.866,86,8.71e-78,243
AT1G01040,AT1G01040.2,Potri.002G181400,Potri.002G181400.1,74.924,99,0,2947
AT1G01050,AT1G01050.1,Potri.014G107100,Potri.014G107100.1,90.323,100,1.42e-145,404
AT1G01060,AT1G01060.1,Potri.014G106800,Potri.014G106800.17,45.661,100,7.38e-158,472
AT1G01070,AT1G01070.1,Potri.001G453000,Potri.001G453000.1,40.27,98,1.52e-98,297
AT1G01080,AT1G01080.2,Potri.014G105800,Potri.014G105800.1,58.744,76,1.25e-89,269
AT1G01090,AT1G01090.1,Potri.002G179500,Potri.002G179500.1,82.727,99,0,727
AT1G01100,AT1G01100.1,Potri.012G021700,Potri.012G021700.1,66.055,96,4.15e-36,119
AT1G01110,AT1G01110.2,Potri.002G178500,Potri.002G178500.1,55.459,100,0,530
AT1G01120,AT1G01120.1,Potri.002G178000,Potri.002G178000.1,76.008,98,0,842
AT1G01140,AT1G01140.3,Potri.002G177900,Potri.002G177900.1,75.626,97,0,706
AT1G01160,AT1G01160.2,Potri.014G103900,Potri.014G103900.2,49.378,96,1.76e-47,156
AT1G01170,AT1G01170.1,Potri.006G051900,Potri.006G051900.8,75.676,88,2.27e-39,125
AT1G01180,AT1G01180.1,Potri.002G177500,Potri.002G177500.1,64.846,95,1.3e-143,407
AT1G01190,AT1G01190.1,Potri.014G102700,Potri.014G102700.1,66.667,99,0,722
AT1G01200,AT1G01200.1,Potri.002G175700,Potri.002G175700.1,68.724,100,4.74e-117,334
AT1G01210,AT1G01210.1,Potri.012G015900,Potri.012G015900.1,55.752,100,6.39e-35,116
AT1G01220,AT1G01220.1,Potri.014G101400,Potri.014G101400.3,73.65,99,0,1622
AT1G01225,AT1G01225.1,Potri.014G101300,Potri.014G101300.1,74.902,96,2.52e-141,397
AT1G01230,AT1G01230.1,Potri.014G101000,Potri.014G101000.1,83.544,100,3.26e-100,285
AT1G01240,AT1G01240.1,Potri.014G100300,Potri.014G100300.4,43.019,86,6.74e-55,186
