Ligand_Ath,Receptor_Ath,Ligand_Ptr,Receptor_Ptr
AT1G01900,AT2G02220,Potri.014G074600,Potri.008G144700
AT1G01900,AT3G02130,Potri.014G074600,Potri.017G094400
AT1G01980,AT5G10770,Potri.001G462600,Potri.018G015100
AT1G02640,AT5G09870,Potri.002G197200,Potri.007G076500
AT1G02640,AT4G13800,Potri.002G197200,Potri.001G318700
AT1G02790,AT4G14815,Potri.002G202200,Potri.008G155100
AT1G02790,AT5G49720,Potri.002G202200,Potri.003G151700
AT1G02810,AT1G11050,Potri.002G202600,Potri.017G133000
AT1G02810,AT3G54920,Potri.002G202600,Potri.010G229000
AT1G02810,AT5G49770,Potri.002G202600,Potri.004G231700
AT1G02900,AT2G05940,Potri.005G025800,Potri.006G141500
AT1G02900,AT3G46290,Potri.005G025800,Potri.001G234200
AT1G02900,AT5G28680,Potri.005G025800,Potri.005G055200
AT1G02900,AT5G54380,Potri.005G025800,Potri.001G405500
AT1G02900,AT3G04690,Potri.005G025800,Potri.013G042500
AT1G02900,AT3G51550,Potri.005G025800,Potri.016G138700
AT1G02900,AT1G30570,Potri.005G025800,Potri.001G467000
AT1G02900,AT4G28280,Potri.005G025800,Potri.019G095200
AT1G02900,AT5G56170,Potri.005G025800,Potri.001G471500
AT1G02900,AT2G20700,Potri.005G025800,Potri.019G095200
AT1G02900,AT4G26466,Potri.005G025800,Potri.001G471500
AT1G04110,AT5G07180,Potri.002G256300,Potri.012G130400
AT1G04110,AT1G63700,Potri.002G256300,Potri.001G102900
AT1G04110,AT4G20940,Potri.002G256300,Potri.011G163700
AT1G04110,AT1G80080,Potri.002G256300,Potri.001G202100
AT1G04110,AT5G62230,Potri.002G256300,Potri.012G130400
AT1G05850,AT4G32410,Potri.010G141600,Potri.006G251900
AT1G05850,AT3G15380,Potri.010G141600,Potri.011G121100
AT1G05850,AT5G15630,Potri.010G141600,Potri.015G060100
AT1G05850,AT4G12730,Potri.010G141600,Potri.014G168100
AT1G05850,AT5G49720,Potri.010G141600,Potri.003G151700
AT1G05850,AT4G23400,Potri.010G141600,Potri.003G128600
AT1G05850,AT5G60920,Potri.010G141600,Potri.015G060000
AT1G05850,AT2G22125,Potri.010G141600,Potri.007G087200
AT1G05850,AT5G05170,Potri.010G141600,Potri.001G266400
AT1G06225,AT1G75820,Potri.013G119100,Potri.005G241500
AT1G07230,AT3G15730,Potri.001G250500,Potri.003G032800
AT1G07230,AT5G64070,Potri.001G250500,Potri.005G059000
AT1G07230,AT4G38530,Potri.001G250500,Potri.001G252300
AT1G07230,AT5G09350,Potri.001G250500,Potri.005G059000
AT1G07230,AT3G47220,Potri.001G250500,Potri.001G252100
AT1G07230,AT1G55180,Potri.001G250500,Potri.003G037700
AT1G07230,AT5G58670,Potri.001G250500,Potri.001G252300
AT1G07230,AT3G03530,Potri.001G250500,Potri.013G073600
AT1G07230,AT4G35790,Potri.001G250500,Potri.005G105600
AT1G09390,AT5G64080,Potri.005G006500,Potri.003G020200
AT1G11080,AT3G16490,Potri.011G046600,Potri.001G190500
AT1G11080,AT1G09790,Potri.011G046600,Potri.004G219200
AT1G11545,AT4G12730,Potri.004G021000,Potri.014G168100
AT1G11580,AT3G54920,Potri.011G025400,Potri.010G229000
AT1G11590,AT3G54920,Potri.011G025400,Potri.010G229000
AT1G12040,AT1G70460,Potri.006G081200,Potri.008G189700
AT1G12040,AT5G49270,Potri.006G081200,Potri.010G001100
AT1G12040,AT4G34580,Potri.006G081200,Potri.004G157600
AT1G12040,AT2G20520,Potri.006G081200,Potri.013G120600
AT1G12560,AT1G70460,Potri.001G112901,Potri.008G189700
AT1G12560,AT5G49270,Potri.001G112901,Potri.010G001100
