Receptor_Ath_clean,Ligand_Ath_clean,Ligand_Ath,Receptor_Ath,source,Organism,Ligand_Ptr,Receptor_Ptr,Ligand_Mapped,Receptor_Mapped,Both_Mapped,Ligand_Identity,Ligand_Coverage,Ligand_Evalue,Ligand_Bitscore,Receptor_Identity,Receptor_Coverage,Receptor_Evalue,Receptor_Bitscore
AT1G02680,AT3G12490,AT3G12490,AT1G02680,interactome2.0,Arabidopsis thaliana,Potri.003G192200,Potri.014G122500,TRUE,TRUE,TRUE,64.957,99,3.09e-106,306,75.701,81,3.17e-56,171
AT1G03103,AT1G68850,AT1G68850,AT1G03103,STRING,Arabidopsis thaliana,Potri.008G110600,Potri.010G085400,TRUE,TRUE,TRUE,72.204,93,1.05e-174,488,47.656,74,1.08e-30,110
AT1G03103,AT2G40370,AT2G40370,AT1G03103,STRING,Arabidopsis thaliana,Potri.008G073700,Potri.010G085400,TRUE,TRUE,TRUE,80.901,96,0,946,47.656,74,1.08e-30,110
AT1G03103,AT5G05390,AT5G05390,AT1G03103,STRING,Arabidopsis thaliana,Potri.008G073700,Potri.010G085400,TRUE,TRUE,TRUE,80.109,96,0,930,47.656,74,1.08e-30,110
AT1G03103,AT5G09520,AT5G09520,AT1G03103,STRING,Arabidopsis thaliana,Potri.007G114525,Potri.010G085400,TRUE,TRUE,TRUE,56.364,77,1.15e-20,82,47.656,74,1.08e-30,110
AT1G03103,AT5G09530,AT5G09530,AT1G03103,STRING,Arabidopsis thaliana,Potri.007G114525,Potri.010G085400,TRUE,TRUE,TRUE,47.273,96,9.38e-23,93.6,47.656,74,1.08e-30,110
AT1G03103,AT5G33340,AT5G33340,AT1G03103,STRING,Arabidopsis thaliana,Potri.014G114400,Potri.010G085400,TRUE,TRUE,TRUE,58.937,93,1.46e-177,504,47.656,74,1.08e-30,110
AT1G03550,AT4G26790,AT4G26790,AT1G03550,STRING,Arabidopsis thaliana,Potri.014G160200,Potri.013G144700,TRUE,TRUE,TRUE,60.29,98,5.67e-155,439,71.242,100,3.51e-150,422
AT1G03700,AT1G68850,AT1G68850,AT1G03700,STRING,Arabidopsis thaliana,Potri.008G110600,Potri.013G131700,TRUE,TRUE,TRUE,72.204,93,1.05e-174,488,62.5,87,1.44e-62,191
AT1G03700,AT2G23540,AT2G23540,AT1G03700,STRING,Arabidopsis thaliana,Potri.007G036300,Potri.013G131700,TRUE,TRUE,TRUE,79.07,89,0,555,62.5,87,1.44e-62,191
AT1G03700,AT2G40370,AT2G40370,AT1G03700,STRING,Arabidopsis thaliana,Potri.008G073700,Potri.013G131700,TRUE,TRUE,TRUE,80.901,96,0,946,62.5,87,1.44e-62,191
AT1G03870,AT3G11700,AT3G11700,AT1G03870,STRING,Arabidopsis thaliana,Potri.016G066500,Potri.013G120600,TRUE,TRUE,TRUE,73.83,99,0,638,57.709,91,2.11e-72,221
AT1G03870,AT5G06920,AT5G06920,AT1G03870,STRING,Arabidopsis thaliana,Potri.013G152200,Potri.013G120600,TRUE,TRUE,TRUE,48.324,99,2.76e-101,303,57.709,91,2.11e-72,221
AT1G04300,AT5G39365,AT5G39365,AT1G04300,STRING,Arabidopsis thaliana,,Potri.008G163300,FALSE,TRUE,FALSE,,,,,53.215,100,0,985
AT1G04750,AT1G28490,AT1G28490,AT1G04750,STRING,Arabidopsis thaliana,Potri.004G050800,Potri.003G177700,TRUE,TRUE,TRUE,75,100,2.7e-133,376,90.909,100,1.82e-140,392
AT1G04750,AT1G28490,AT1G28490,AT1G04750,interactome2.0,Arabidopsis thaliana,Potri.004G050800,Potri.003G177700,TRUE,TRUE,TRUE,75,100,2.7e-133,376,90.909,100,1.82e-140,392
AT1G04750,AT2G14620,AT2G14620,AT1G04750,interactome2.0,Arabidopsis thaliana,Potri.009G083800,Potri.003G177700,TRUE,TRUE,TRUE,72.509,97,1.77e-162,454,90.909,100,1.82e-140,392
AT1G04750,AT2G15230,AT2G15230,AT1G04750,interactome2.0,Arabidopsis thaliana,Potri.009G094900,Potri.003G177700,TRUE,TRUE,TRUE,65.414,99,0,564,90.909,100,1.82e-140,392
AT1G04750,AT5G04200,AT5G04200,AT1G04750,BIOGRID,Arabidopsis thaliana,Potri.006G026450,Potri.003G177700,TRUE,TRUE,TRUE,65.337,98,1.27e-150,426,90.909,100,1.82e-140,392
AT1G04750,AT5G20340,AT5G20340,AT1G04750,interactome2.0,Arabidopsis thaliana,Potri.002G089200,Potri.003G177700,TRUE,TRUE,TRUE,44.551,88,2.15e-90,275,90.909,100,1.82e-140,392
AT1G04760,AT1G28490,AT1G28490,AT1G04760,STRING,Arabidopsis thaliana,Potri.004G050800,Potri.003G177700,TRUE,TRUE,TRUE,75,100,2.7e-133,376,88.584,99,2.26e-138,387
AT1G05590,AT1G72990,AT1G72990,AT1G05590,STRING,Arabidopsis thaliana,Potri.003G037000,Potri.001G232600,TRUE,TRUE,TRUE,65.452,97,0,931,69.947,96,0,810
AT1G05590,AT2G28100,AT2G28100,AT1G05590,STRING,Arabidopsis thaliana,Potri.009G006900,Potri.001G232600,TRUE,TRUE,TRUE,73.708,88,0,706,69.947,96,0,810
AT1G05590,AT3G52840,AT3G52840,AT1G05590,STRING,Arabidopsis thaliana,Potri.006G144500,Potri.001G232600,TRUE,TRUE,TRUE,74.011,97,0,1140,69.947,96,0,810
AT1G05590,AT3G56310,AT3G56310,AT1G05590,STRING,Arabidopsis thaliana,Potri.019G056700,Potri.001G232600,TRUE,TRUE,TRUE,73.227,99,0,681,69.947,96,0,810
AT1G05590,AT5G08370,AT5G08370,AT1G05590,STRING,Arabidopsis thaliana,Potri.018G152200,Potri.001G232600,TRUE,TRUE,TRUE,76.374,92,0,603,69.947,96,0,810
AT1G05590,AT5G08380,AT5G08380,AT1G05590,STRING,Arabidopsis thaliana,Potri.010G255200,Potri.001G232600,TRUE,TRUE,TRUE,83.784,90,0,667,69.947,96,0,810
AT1G05590,AT5G24090,AT5G24090,AT1G05590,STRING,Arabidopsis thaliana,Potri.015G024200,Potri.001G232600,TRUE,TRUE,TRUE,74.91,92,3.15e-155,436,69.947,96,0,810
AT1G05810,AT2G15230,AT2G15230,AT1G05810,STRING,Arabidopsis thaliana,Potri.009G094900,Potri.002G231800,TRUE,TRUE,TRUE,65.414,99,0,564,84.793,82,3.6e-132,373
AT1G06490,AT1G73370,AT1G73370,AT1G06490,STRING,Arabidopsis thaliana,Potri.015G029100,Potri.002G058700,TRUE,TRUE,TRUE,71.831,90,0,1337,73.801,99,0,2992
AT1G06490,AT5G37180,AT5G37180,AT1G06490,STRING,Arabidopsis thaliana,Potri.017G139100,Potri.002G058700,TRUE,TRUE,TRUE,70.764,99,0,1234,73.801,99,0,2992
AT1G07390,AT1G80133,AT1G80133,AT1G07390,STRING,Arabidopsis thaliana,Potri.018G130700,Potri.018G118035,TRUE,TRUE,TRUE,36.082,84,1.01e-13,62.4,35.895,99,6.42e-155,488
AT1G07430,AT5G63140,AT5G63140,AT1G07430,interactome2.0,Arabidopsis thaliana,Potri.014G109100,Potri.009G037300,TRUE,TRUE,TRUE,67.385,95,0,524,67.069,74,4.31e-151,437
AT1G07490,AT3G23805,AT3G23805,AT1G07490,STRING,Arabidopsis thaliana,Potri.017G059500,Potri.001G242800,TRUE,TRUE,TRUE,61.111,73,1.93e-30,106,50.476,97,1.33e-21,82
AT1G07490,AT3G44735,AT3G44735,AT1G07490,STRING,Arabidopsis thaliana,Potri.004G188200,Potri.001G242800,TRUE,TRUE,TRUE,51.562,72,1.11e-16,68.6,50.476,97,1.33e-21,82
AT1G07490,AT3G49780,AT3G49780,AT1G07490,STRING,Arabidopsis thaliana,Potri.007G006800,Potri.001G242800,TRUE,TRUE,TRUE,58.025,98,1.31e-25,90.9,50.476,97,1.33e-21,82
AT1G07490,AT4G14010,AT4G14010,AT1G07490,STRING,Arabidopsis thaliana,Potri.017G059800,Potri.001G242800,TRUE,TRUE,TRUE,47.059,100,6.38e-29,101,50.476,97,1.33e-21,82
AT1G07490,AT4G15800,AT4G15800,AT1G07490,STRING,Arabidopsis thaliana,Potri.008G208200,Potri.001G242800,TRUE,TRUE,TRUE,60.526,96,7.49e-44,139,50.476,97,1.33e-21,82
AT1G07550,AT1G14700,AT1G14700,AT1G07550,IntAct,Arabidopsis thaliana,Potri.008G139125,Potri.019G094700,TRUE,TRUE,TRUE,67.823,86,2.67e-169,476,40.525,97,0,585
AT1G07560,AT3G29780,AT3G29780,AT1G07560,STRING,Arabidopsis thaliana,Potri.017G096500,Potri.019G094700,TRUE,TRUE,TRUE,33.043,95,1.49e-12,60.1,42.614,97,0,628
AT1G07560,AT5G48540,AT5G48540,AT1G07560,STRING,Arabidopsis thaliana,Potri.002G249600,Potri.019G094700,TRUE,TRUE,TRUE,54.348,87,1.12e-85,256,42.614,97,0,628
AT1G07650,AT1G24140,AT1G24140,AT1G07650,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.004G135500,TRUE,TRUE,TRUE,60.119,87,1.18e-141,408,65.976,99,0,1353
AT1G07650,AT1G59970,AT1G59970,AT1G07650,orthologs,Arabidopsis thaliana,Potri.015G103900,Potri.004G135500,TRUE,TRUE,TRUE,56.215,94,4.79e-137,395,65.976,99,0,1353
AT1G07650,AT1G70170,AT1G70170,AT1G07650,orthologs,Arabidopsis thaliana,Potri.012G104600,Potri.004G135500,TRUE,TRUE,TRUE,57.418,96,7.54e-140,403,65.976,99,0,1353
AT1G08230,AT1G15000,AT1G15000,AT1G08230,STRING,Arabidopsis thaliana,Potri.008G129800,Potri.009G149900,TRUE,TRUE,TRUE,60.095,93,0,530,66.593,99,0,603
AT1G08230,AT5G23210,AT5G23210,AT1G08230,STRING,Arabidopsis thaliana,Potri.005G091700,Potri.009G149900,TRUE,TRUE,TRUE,66.376,92,0,655,66.593,99,0,603
AT1G08340,AT3G16920,AT3G16920,AT1G08340,STRING,Arabidopsis thaliana,Potri.010G141600,Potri.016G078200,TRUE,TRUE,TRUE,85.24,78,1.42e-178,498,67.254,86,1.4e-136,397
AT1G08430,AT3G27980,AT3G27980,AT1G08430,STRING,Arabidopsis thaliana,Potri.011G025400,Potri.009G017800,TRUE,TRUE,TRUE,44.711,97,1.5e-137,408,56.731,84,8.4e-170,488
AT1G08590,AT2G34925,AT2G34925,AT1G08590,STRING,Arabidopsis thaliana,,Potri.019G021700,FALSE,TRUE,FALSE,,,,,66.182,99,0,1365
AT1G08590,AT3G24770,AT3G24770,AT1G08590,STRING,Arabidopsis thaliana,Potri.002G241300,Potri.019G021700,TRUE,TRUE,TRUE,56.452,51,6.51e-13,60.8,66.182,99,0,1365
AT1G08860,AT4G02350,AT4G02350,AT1G08860,STRING,Arabidopsis thaliana,Potri.014G127400,Potri.013G029100,TRUE,TRUE,TRUE,74.969,100,0,1235,72.539,99,0,856
AT1G09790,AT1G11080,AT1G11080,AT1G09790,STRING,Arabidopsis thaliana,Potri.011G046600,Potri.004G219200,TRUE,TRUE,TRUE,69.835,98,0,680,58,98,0,550
